Country,Precipitation,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal),Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,CoastlineLength,Date
STP,3200,3848329.74,2,?,?,?,?,99.71,152548877.6,56.97,?,2437400.27,1.2,1.56,0.48,54.01,?,?,?,13.5,32.3,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,20.88,-2.72,43.11,1200,79.3,36.2,6.25,48.96,44.79,2,40.25,6.47,0.167,0.148,0.684,?,?
PNG,"3,142",489343565.6,60,12.61,?,?,?,55.8,7516790443,10.16,?,41666226.56,39.1,4.41,27.54,?,?,?,?,17.5,45.5,OCEANIA                            ,5670544,462840,12.3,1.11,0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266,5.152,2014
SLB,"3,028",23513296.41,11.5,?,?,?,?,113.82,448007273.6,15.49,?,?,1.3,-0.26,6.07,65.39,?,7.9,?,13.9,45.6,OCEANIA                            ,552438,28450,19.4,18.67,0,21.29,1700,,13.4,0.64,2,97.36,2,30.01,3.92,0.42,0.11,0.47,5.313,2014
CRI,"2,926",215975525.6,99,23.06,?,7.19,10.86,1216.37,85719107353,83.55,18.9,72501540.68,4.5,3.63,1.86,93.41,59.69,?,14.4,5.6,6.5,LATIN AMER. & CARIB    ,4075261,51100,79.8,2.52,0.51,9.95,9100,96.0,340.7,4.41,5.88,89.71,2,18.32,4.36,0.088,0.299,0.614,1.290,2014
MYS,"2,875",2957386960,92,42.56,1.3,221.08,16.51,2490.64,3.97E+11,60.95,?,1355303508,2.4,3.28,3.59,98.6,62.82,8,?,?,0.5,ASIA (EX. NEAR EAST)         ,24385858,329750,74.0,1.42,0,17.7,9000,88.7,179.0,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436,4.675,2014
BRN,"2,722",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79,3.59,12.61,18600,93.9,237.2,0.57,0.76,98.67,2,18.79,3.45,0.036,0.561,0.403,161,2014
IDN,"2,702",10015652541,60,35.08,?,442.49,13.71,842.8,6.88E+11,71.07,22.9,3088926315,5.8,3.64,65.85,?,44.62,?,?,7.9,43.1,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85,0,35.6,3200,87.9,52.0,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408,54.716,2014
PAN,"2,692",161410589.8,79,6.19,?,11.81,?,609.88,1.09E+11,91.29,?,57822835.94,2.7,4.04,0.92,78.88,?,?,?,9.3,21.5,LATIN AMER. & CARIB    ,3191319,78200,40.8,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776,2.490,2014
BGD,"2,666",2477464636,71,9.47,?,71.18,?,202.33,76468608857,15.22,?,732892227.3,4.7,5.37,13.94,?,?,?,?,15.1,74.2,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.40,-0.71,62.6,1900,43.1,7.3,62.11,3.07,34.82,2,29.8,8.27,0.199,0.198,0.603,580,2014
COL,"2,612",1602015390,100,20.94,0.29,72.8,12.11,829.89,2.85E+11,56.49,21.7,906398801.3,0.9,2.12,7.26,?,57.15,?,?,7.1,20.2,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300,92.5,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,3.208,2014
FJI,"2,592",34138007.27,68.35,7.13,?,?,?,483.88,2977003278,58.2,?,12607187.59,5.1,3.11,6.21,?,?,?,?,4.6,6.2,OCEANIA                            ,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,1.129,2014
SLE,"2,526",285995541,20,?,?,?,?,9.75,2139994894,?,?,76601688.5,-22.9,-22.33,0.87,32.8,?,?,?,30.9,62.8,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56,0,143.64,500,31.4,4.0,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21,402,2014
SGP,"2,497",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2.29,23700,92.5,411.4,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661,193,2014
